size;array_type;threshold;time_ms
7800;"reversed";10;1.0715
7900;"reversed";10;1.0843
8000;"reversed";10;1.1177
8100;"reversed";10;1.1171
8200;"reversed";10;1.1202
8300;"reversed";10;1.4141
8400;"reversed";10;1.1705
8500;"reversed";10;1.1505
8600;"reversed";10;1.1674
8700;"reversed";10;1.1908
8800;"reversed";10;1.2263
8900;"reversed";10;1.2262
9000;"reversed";10;1.2349
9100;"reversed";10;1.2423
9200;"reversed";10;1.2789
9300;"reversed";10;1.508
9400;"reversed";10;1.2893
9500;"reversed";10;1.2838
9600;"reversed";10;1.3226
9700;"reversed";10;1.3105
9800;"reversed";10;1.4492
9900;"reversed";10;1.3304
10000;"reversed";10;1.3476
500;"almost_sorted";10;0.0499
600;"almost_sorted";10;0.0502
700;"almost_sorted";10;0.0757
800;"almost_sorted";10;0.0847
900;"almost_sorted";10;0.0944
1000;"almost_sorted";10;0.0978
1100;"almost_sorted";10;0.1031
1200;"almost_sorted";10;0.1104
1300;"almost_sorted";10;0.1241
1400;"almost_sorted";10;0.1596
1500;"almost_sorted";10;0.2192
1600;"almost_sorted";10;0.1776
1700;"almost_sorted";10;0.1886
1800;"almost_sorted";10;0.1956
1900;"almost_sorted";10;0.2032
2000;"almost_sorted";10;0.2199
2100;"almost_sorted";10;0.2181
2200;"almost_sorted";10;0.227
2300;"almost_sorted";10;0.2387
2400;"almost_sorted";10;0.2418
2500;"almost_sorted";10;0.2549
2600;"almost_sorted";10;0.2732
2700;"almost_sorted";10;0.3054
2800;"almost_sorted";10;0.3429
2900;"almost_sorted";10;0.3601
3000;"almost_sorted";10;0.3712
3100;"almost_sorted";10;0.3758
3200;"almost_sorted";10;0.3991
3300;"almost_sorted";10;0.4562
3400;"almost_sorted";10;0.4093
3500;"almost_sorted";10;0.4076
3600;"almost_sorted";10;0.4234
3700;"almost_sorted";10;0.4284
3800;"almost_sorted";10;0.4464
3900;"almost_sorted";10;0.4493
4000;"almost_sorted";10;0.4559
4100;"almost_sorted";10;0.465
4200;"almost_sorted";10;0.4824
4300;"almost_sorted";10;0.4845
4400;"almost_sorted";10;0.505
4500;"almost_sorted";10;0.5148
4600;"almost_sorted";10;0.5151
4700;"almost_sorted";10;0.5176
4800;"almost_sorted";10;0.5246
4900;"almost_sorted";10;0.5437
5000;"almost_sorted";10;0.5523
5100;"almost_sorted";10;0.5751
5200;"almost_sorted";10;0.7323
5300;"almost_sorted";10;0.6348
5400;"almost_sorted";10;0.6669
5500;"almost_sorted";10;0.6916
5600;"almost_sorted";10;0.7432
5700;"almost_sorted";10;0.7583
5800;"almost_sorted";10;0.7693
5900;"almost_sorted";10;0.7815
6000;"almost_sorted";10;0.8218
6100;"almost_sorted";10;0.8159
6200;"almost_sorted";10;0.8213
6300;"almost_sorted";10;0.8263
6400;"almost_sorted";10;0.924
6500;"almost_sorted";10;0.8744
6600;"almost_sorted";10;0.8586
6700;"almost_sorted";10;0.8593
6800;"almost_sorted";10;0.9003
6900;"almost_sorted";10;0.8935
7000;"almost_sorted";10;0.9198
7100;"almost_sorted";10;0.9066
7200;"almost_sorted";10;0.9279
7300;"almost_sorted";10;0.9127
7400;"almost_sorted";10;0.9217
7500;"almost_sorted";10;0.9759
7600;"almost_sorted";10;0.9584
7700;"almost_sorted";10;0.9656
7800;"almost_sorted";10;0.9655
7900;"almost_sorted";10;0.9867
8000;"almost_sorted";10;1.035
8100;"almost_sorted";10;0.9997
8200;"almost_sorted";10;1.0296
8300;"almost_sorted";10;1.0396
8400;"almost_sorted";10;1.0573
8500;"almost_sorted";10;1.0549
8600;"almost_sorted";10;1.3399
8700;"almost_sorted";10;1.0634
8800;"almost_sorted";10;1.0765
8900;"almost_sorted";10;1.1046
9000;"almost_sorted";10;1.0922
9100;"almost_sorted";10;1.1101
9200;"almost_sorted";10;1.1423
9300;"almost_sorted";10;1.1761
9400;"almost_sorted";10;1.1478
9500;"almost_sorted";10;1.1599
9600;"almost_sorted";10;1.1651
9700;"almost_sorted";10;1.1828
9800;"almost_sorted";10;1.2086
9900;"almost_sorted";10;1.2091
10000;"almost_sorted";10;1.2063
500;"random";20;0.066
600;"random";20;0.0755
700;"random";20;0.0992
800;"random";20;0.1122
900;"random";20;0.1306
1000;"random";20;0.1407
1100;"random";20;0.1555
1200;"random";20;0.167
1300;"random";20;0.1934
1400;"random";20;0.2162
1500;"random";20;0.2313
1600;"random";20;0.2495
1700;"random";20;0.2639
1800;"random";20;0.277
1900;"random";20;0.2942
2000;"random";20;0.3136
2100;"random";20;0.3278
2200;"random";20;0.3414
2300;"random";20;0.3576
2400;"random";20;0.3711
2500;"random";20;0.3922
2600;"random";20;0.4189
2700;"random";20;0.4607
2800;"random";20;0.4711
2900;"random";20;0.4904
3000;"random";20;0.5122
3100;"random";20;0.527
3200;"random";20;0.5564
3300;"random";20;0.5586
3400;"random";20;0.5746
3500;"random";20;0.595
3600;"random";20;0.6088
3700;"random";20;0.6293
3800;"random";20;0.6468
3900;"random";20;0.6651
4000;"random";20;0.683
4100;"random";20;0.7042
4200;"random";20;0.7159
4300;"random";20;0.7329
4400;"random";20;0.7557
4500;"random";20;0.7703
4600;"random";20;0.7893
4700;"random";20;0.8027
4800;"random";20;0.8204
4900;"random";20;0.842
5000;"random";20;0.8475
5100;"random";20;0.9857
5200;"random";20;1.0601
5300;"random";20;0.9659
5400;"random";20;1.0114
5500;"random";20;1.0218
5600;"random";20;1.1064
5700;"random";20;1.0889
5800;"random";20;1.0726
5900;"random";20;1.1079
6000;"random";20;1.1245
6100;"random";20;1.132
6200;"random";20;1.1863
6300;"random";20;1.1828
6400;"random";20;1.3426
6500;"random";20;1.2057
